timestamp,power,tag                             #predictions_interval=0.2
2025-06-02 17:41:37.477235, 1.992,
2025-06-02 17:41:37.506734, 2.004,
2025-06-02 17:41:37.534521, 2.012,
2025-06-02 17:41:37.563675, 2.136,
2025-06-02 17:41:37.591213, 2.020,
2025-06-02 17:41:37.624278, 2.096,
2025-06-02 17:41:37.651325, 2.052,
2025-06-02 17:41:37.677530, 2.104,
2025-06-02 17:41:37.705138, 2.032,
2025-06-02 17:41:37.732515, 2.056,
2025-06-02 17:41:37.759611, 2.020,
2025-06-02 17:41:37.796561, 2.024,
2025-06-02 17:41:37.846390, 2.040,
2025-06-02 17:41:37.887361, 2.024,
2025-06-02 17:41:37.915483, 2.024,
2025-06-02 17:41:37.943425, 2.020,
2025-06-02 17:41:37.971797, 2.064,
2025-06-02 17:41:37.999980, 2.024,
2025-06-02 17:41:38.027854, 2.040,
2025-06-02 17:41:38.057041, 2.056,
2025-06-02 17:41:38.084923, 2.032,
2025-06-02 17:41:38.116093, 2.188,
2025-06-02 17:41:38.146573, 2.044,
2025-06-02 17:41:38.174581, 2.024,
2025-06-02 17:41:38.202572, 2.024,
2025-06-02 17:41:38.230351, 1.888,
2025-06-02 17:41:38.258418, 1.876,
2025-06-02 17:41:38.286476, 1.896,
2025-06-02 17:41:38.314359, 1.932,
2025-06-02 17:41:38.342320, 1.896,
2025-06-02 17:41:38.370251, 1.900,
2025-06-02 17:41:38.398630, 1.880,
2025-06-02 17:41:38.427452, 1.868,
2025-06-02 17:41:38.456035, 1.896,
2025-06-02 17:41:38.484150, 1.900,
2025-06-02 17:41:38.512260, 1.900,
2025-06-02 17:41:38.540610, 1.876,
2025-06-02 17:41:38.569232, 1.896,
2025-06-02 17:41:38.599154, 1.876,
2025-06-02 17:41:38.630600, 1.876,
2025-06-02 17:41:38.659710, 1.876,
2025-06-02 17:41:38.687878, 1.876,
2025-06-02 17:41:38.717730, 1.888,
2025-06-02 17:41:38.747554, 1.880,
2025-06-02 17:41:38.776778, 1.868,
2025-06-02 17:41:38.805863, 1.868,
2025-06-02 17:41:38.836056, 1.860,
2025-06-02 17:41:38.865510, 1.856,
2025-06-02 17:41:38.893689, 1.888,
2025-06-02 17:41:38.926810, 1.960,
2025-06-02 17:41:38.954073, 1.888,
2025-06-02 17:41:38.984731, 1.908,
2025-06-02 17:41:39.011560, 1.908,
2025-06-02 17:41:39.039402, 1.896,
2025-06-02 17:41:39.067538, 1.932,
2025-06-02 17:41:39.095014, 1.900,
2025-06-02 17:41:39.132272, 1.960,
2025-06-02 17:41:39.179994, 1.896,
2025-06-02 17:41:39.225779, 1.912,
2025-06-02 17:41:39.254400, 1.900,
2025-06-02 17:41:39.283414, 1.900,
2025-06-02 17:41:39.312013, 1.920,
2025-06-02 17:41:39.341538, 1.980,
2025-06-02 17:41:39.370257, 1.896,
2025-06-02 17:41:39.398783, 1.900,
2025-06-02 17:41:39.428572, 1.972,
2025-06-02 17:41:39.457559, 1.888,
2025-06-02 17:41:39.486902, 1.876,
2025-06-02 17:41:39.515814, 1.896,
2025-06-02 17:41:39.544715, 1.896,
2025-06-02 17:41:39.574051, 1.908,
2025-06-02 17:41:39.605429, 1.888,
2025-06-02 17:41:39.638117, 1.968,
2025-06-02 17:41:39.666971, 1.860,
2025-06-02 17:41:39.696472, 1.888,
2025-06-02 17:41:39.725839, 1.900,
2025-06-02 17:41:39.754664, 1.888,
2025-06-02 17:41:39.783656, 1.880,
2025-06-02 17:41:39.812672, 1.868,
2025-06-02 17:41:39.841561, 1.920,
2025-06-02 17:41:39.871360, 1.900,
2025-06-02 17:41:39.900123, 1.900,
2025-06-02 17:41:39.929246, 1.888,
2025-06-02 17:41:39.958116, 1.888,
2025-06-02 17:41:39.987039, 1.912,
2025-06-02 17:41:40.016183, 1.912,
2025-06-02 17:41:40.045217, 1.888,
2025-06-02 17:41:40.074652, 1.888,
2025-06-02 17:41:40.147263, 1.932,
2025-06-02 17:41:40.180504, 1.856,
2025-06-02 17:41:40.211012, 1.952,
2025-06-02 17:41:40.241438, 1.972,
2025-06-02 17:41:40.270709, 1.900,
2025-06-02 17:41:40.297416, 1.836,
2025-06-02 17:41:40.323922, 1.820,
2025-06-02 17:41:40.351299, 1.860,
2025-06-02 17:41:40.378644, 1.876,
2025-06-02 17:41:40.405071, 1.808,
2025-06-02 17:41:40.431915, 1.840,
2025-06-02 17:41:40.458655, 1.912,
2025-06-02 17:41:40.485252, 1.816,
2025-06-02 17:41:40.514034, 1.948,
2025-06-02 17:41:40.541281, 2.012,
2025-06-02 17:41:40.568139, 1.888,
2025-06-02 17:41:40.594857, 1.848,
2025-06-02 17:41:40.625043, 2.004,
2025-06-02 17:41:40.652615, 1.860,
2025-06-02 17:41:40.679233, 1.836,
2025-06-02 17:41:40.706550, 1.888,
2025-06-02 17:41:40.734413, 1.840,
2025-06-02 17:41:40.761141, 1.820,
2025-06-02 17:41:40.787798, 1.840,
2025-06-02 17:41:40.814941, 1.840,
2025-06-02 17:41:40.841947, 1.860,
2025-06-02 17:41:40.868709, 1.932,
2025-06-02 17:41:40.895468, 1.816,
2025-06-02 17:41:40.925020, 1.868,
2025-06-02 17:41:40.954370, 2.020,
2025-06-02 17:41:40.990681, 2.188,
2025-06-02 17:41:41.018180, 1.876,
2025-06-02 17:41:41.045723, 1.856,
2025-06-02 17:41:41.072774, 1.804,
2025-06-02 17:41:41.100066, 1.840,
2025-06-02 17:41:41.133968, 2.012,
2025-06-02 17:41:41.161448, 1.836,
2025-06-02 17:41:41.188505, 1.820,
2025-06-02 17:41:41.216416, 1.888,
2025-06-02 17:41:41.244021, 1.880,
2025-06-02 17:41:41.272543, 1.900,
2025-06-02 17:41:41.299886, 1.848,
2025-06-02 17:41:41.329743, 1.876,
2025-06-02 17:41:41.356916, 1.856,
2025-06-02 17:41:41.385008, 1.836,
2025-06-02 17:41:41.412193, 1.860,
2025-06-02 17:41:41.440234, 1.876,
2025-06-02 17:41:41.467404, 1.808,
2025-06-02 17:41:41.499368, 1.896,
2025-06-02 17:41:41.533579, 1.948,
2025-06-02 17:41:41.564634, 2.204,
2025-06-02 17:41:41.592101, 1.908,
2025-06-02 17:41:41.621559, 1.856,
2025-06-02 17:41:41.650817, 1.868,
2025-06-02 17:41:41.684013, 1.952,
2025-06-02 17:41:41.715219, 1.860,
2025-06-02 17:41:41.752884, 2.300,
2025-06-02 17:41:41.780831, 1.900,
2025-06-02 17:41:41.808224, 1.828,
2025-06-02 17:41:41.835939, 1.868,
2025-06-02 17:41:41.864121, 1.868,
2025-06-02 17:41:41.891865, 1.876,
2025-06-02 17:41:41.919847, 1.880,
2025-06-02 17:41:41.947315, 1.856,
2025-06-02 17:41:41.975213, 1.836,
2025-06-02 17:41:42.002754, 1.932,
2025-06-02 17:41:42.030881, 1.880,
2025-06-02 17:41:42.063875, 1.880,
2025-06-02 17:41:42.097781, 1.968,
2025-06-02 17:41:42.134324, 2.236,
2025-06-02 17:41:42.162222, 1.900,
2025-06-02 17:41:42.190699, 1.908,
2025-06-02 17:41:42.218625, 1.836,
